Concentration relative to reference,Metabolite,Rate,Rate (mmol/min/gBW)
0.01,Glucose,Glycolysis,0.005847305588163637
0.010471285480508996,Glucose,Glycolysis,0.006122567451049553
0.01096478196143185,Glucose,Glycolysis,0.0064107718287538295
0.01148153621496883,Glucose,Glycolysis,0.006712525777094
0.012022644346174132,Glucose,Glycolysis,0.007028464681956985
0.012589254117941675,Glucose,Glycolysis,0.007359253567596101
0.013182567385564075,Glucose,Glycolysis,0.0077055884640121405
0.013803842646028852,Glucose,Glycolysis,0.008068197835957325
0.014454397707459272,Glucose,Glycolysis,0.008447844076197116
0.01513561248436208,Glucose,Glycolysis,0.008845325065763642
0.015848931924611134,Glucose,Glycolysis,0.009261475804035257
0.016595869074375606,Glucose,Glycolysis,0.009697170111579907
0.017378008287493755,Glucose,Glycolysis,0.010153322408804939
0.018197008586099836,Glucose,Glycolysis,0.01063088957356276
0.019054607179632473,Glucose,Glycolysis,0.011130872880970337
0.0199526231496888,Glucose,Glycolysis,0.011654320028810219
0.020892961308540396,Glucose,Glycolysis,0.012202327251991829
0.02187761623949553,Glucose,Glycolysis,0.01277604152966336
0.022908676527677724,Glucose,Glycolysis,0.013376662888676791
0.023988329190194897,Glucose,Glycolysis,0.014005446807220736
0.025118864315095794,Glucose,Glycolysis,0.014663706722547253
0.026302679918953815,Glucose,Glycolysis,0.01535281664682955
0.02754228703338166,Glucose,Glycolysis,0.016074213895296424
0.028840315031266057,Glucose,Glycolysis,0.016829401930895726
0.03019951720402016,Glucose,Glycolysis,0.017619953329842817
0.03162277660168379,Glucose,Glycolysis,0.018447512872509408
0.03311311214825911,Glucose,Glycolysis,0.01931380076420269
0.034673685045253165,Glucose,Glycolysis,0.020220615990473118
0.03630780547701014,Glucose,Glycolysis,0.021169839811670647
0.038018939632056124,Glucose,Glycolysis,0.02216343940154139
0.039810717055349734,Glucose,Glycolysis,0.023203471634719953
0.04168693834703355,Glucose,Glycolysis,0.024292087028022658
0.04365158322401661,Glucose,Glycolysis,0.02543153384048497
0.04570881896148752,Glucose,Glycolysis,0.0266241623371077
