COMPOUND,variable,value,DAY,CAGE,TIME,TRACER,TRACER_UMOL_MIN,COUNTS,MEAN_NON_PERTURBATIVE_DAY1,value_normalized,value_scaled
c16:0,DAY2_CAGE3_T120,2644986994.8500004,perturbative,3,120,3-hydroxybutyrate,12.048,599,2200062628.1675,1.2022325914663128,1.2022325914663128
c16:0,DAY1_CAGE13_T120,1918496644.28,non-perturbative,13,120,lactate,1.6340100000000006,1449,2200062628.1675,0.8720191051460998,0.8720191051460998
c16:0,DAY1_CAGE14_T120,2192639756.3700004,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,2200062628.1675,0.9966260634118028,0.9966260634118028
c16:0,DAY2_CAGE1_T120,951558083.22,perturbative,1,120,glucose,29.3058,599,2200062628.1675,0.43251408893417825,0.43251408893417825
c16:0,DAY2_CAGE2_T120,1761309113.1299999,perturbative,2,120,lactate,9.396,599,2200062628.1675,0.8005722612528756,0.8005722612528756
c16:0,DAY2_CAGE4_T120,1001986998.09,perturbative,4,120,glucose,31.2354,599,2200062628.1675,0.4554356704493389,0.4554356704493389
c16:0,DAY2_CAGE10_T120,2283988428.32,perturbative,10,120,lactate,9.98325,599,2200062628.1675,1.0381470050343087,1.0381470050343087
c16:0,DAY2_CAGE5_T120,2020623800.0,perturbative,5,120,lactate,10.92285,599,2200062628.1675,0.9184392181067318,0.9184392181067318
c16:0,DAY2_CAGE6_T120,1843840793.33,perturbative,6,120,3-hydroxybutyrate,12.96,599,2200062628.1675,0.8380855934386703,0.8380855934386703
c16:0,DAY2_CAGE9_T120,1474052526.78,perturbative,9,120,glucose,33.2856,599,2200062628.1675,0.6700048025486365,0.6700048025486365
c16:0,DAY2_CAGE11_T120,2194890400.1800003,perturbative,11,120,3-hydroxybutyrate,11.616,599,2200062628.1675,0.9976490542036034,0.9976490542036034
c16:0,DAY2_CAGE12_T120,1168293539.84,perturbative,12,120,glucose,27.135,599,2200062628.1675,0.5310274011668057,0.5310274011668057
c16:0,DAY2_CAGE13_T120,2394228311.19,perturbative,13,120,lactate,9.82665,599,2200062628.1675,1.0882546162716407,1.0882546162716407
c18:1,DAY1_CAGE1_T120,1992740676.8200002,non-perturbative,1,120,glucose,2.0412000000000003,1449,2236695818.335833,0.8909305684233171,0.8909305684233171
c18:1,DAY1_CAGE2_T120,2504281486.56,non-perturbative,2,120,lactate,1.5624000000000005,1449,2236695818.335833,1.119634357980451,1.119634357980451
c18:1,DAY1_CAGE3_T120,1855533311.94,non-perturbative,3,120,3-hydroxybutyrate,0.4016,1449,2236695818.335833,0.8295867934874448,0.8295867934874448
c18:1,DAY1_CAGE4_T120,2755415398.32,non-perturbative,4,120,glucose,2.1756,1449,2236695818.335833,1.231913332037304,1.231913332037304
c18:1,DAY1_CAGE5_T120,2714378239.19,non-perturbative,5,120,lactate,1.8162900000000004,1449,2236695818.335833,1.213566108068095,1.213566108068095
c18:1,DAY1_CAGE6_T120,2052331308.06,non-perturbative,6,120,3-hydroxybutyrate,0.432,1449,2236695818.335833,0.917572828292313,0.917572828292313
c18:1,DAY1_CAGE9_T120,1788487067.3200002,non-perturbative,9,120,glucose,2.3184000000000005,1449,2236695818.335833,0.7996112178770409,0.7996112178770409
c18:1,DAY1_CAGE10_T120,2825207191.56,non-perturbative,10,120,lactate,1.6600500000000005,1449,2236695818.335833,1.263116409660942,1.263116409660942
c18:1,DAY1_CAGE11_T120,1864671854.06,non-perturbative,11,120,3-hydroxybutyrate,0.3872,1449,2236695818.335833,0.833672526578679,0.833672526578679
c18:1,DAY1_CAGE12_T120,2139912605.8200002,non-perturbative,12,120,glucose,1.89,1449,2236695818.335833,0.9567293810260519,0.9567293810260519
c18:1,DAY2_CAGE3_T120,2155500171.2400002,perturbative,3,120,3-hydroxybutyrate,12.048,599,2236695818.335833,0.9636983954500149,0.9636983954500149
c18:1,DAY1_CAGE13_T120,1977565066.8200002,non-perturbative,13,120,lactate,1.6340100000000006,1449,2236695818.335833,0.8841457343499513,0.8841457343499513
c18:1,DAY1_CAGE14_T120,2369825613.56,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,2236695818.335833,1.0595207422184119,1.0595207422184119
c18:1,DAY2_CAGE1_T120,713882428.59,perturbative,1,120,glucose,29.3058,599,2236695818.335833,0.3191683119080311,0.3191683119080311
c18:1,DAY2_CAGE2_T120,1456205785.6200001,perturbative,2,120,lactate,9.396,599,2236695818.335833,0.6510522234102711,0.6510522234102711
c18:1,DAY2_CAGE4_T120,981332457.6300001,perturbative,4,120,glucose,31.2354,599,2236695818.335833,0.4387420272284231,0.4387420272284231
c18:1,DAY2_CAGE10_T120,2634603311.69,perturbative,10,120,lactate,9.98325,599,2236695818.335833,1.17789969028968,1.17789969028968
c18:1,DAY2_CAGE5_T120,1797738062.3200002,perturbative,5,120,lactate,10.92285,599,2236695818.335833,0.8037472273085259,0.8037472273085259
c18:1,DAY2_CAGE6_T120,1529159331.1000001,perturbative,6,120,3-hydroxybutyrate,12.96,599,2236695818.335833,0.6836688827172482,0.6836688827172482
c18:1,DAY2_CAGE9_T120,1318753141.94,perturbative,9,120,glucose,33.2856,599,2236695818.335833,0.589598787250915,0.589598787250915
c18:1,DAY2_CAGE11_T120,2080839731.17,perturbative,11,120,3-hydroxybutyrate,11.616,599,2236695818.335833,0.9303186039477668,0.9303186039477668
c18:1,DAY2_CAGE12_T120,1019582380.58,perturbative,12,120,glucose,27.135,599,2236695818.335833,0.4558431111739633,0.4558431111739633
c18:1,DAY2_CAGE13_T120,2220742558.19,perturbative,13,120,lactate,9.82665,599,2236695818.335833,0.9928674878295688,0.9928674878295688
c18:2 ,DAY1_CAGE1_T120,1635209393.51,non-perturbative,1,120,glucose,2.0412000000000003,1449,1849211895.944167,0.8842736719877622,0.8842736719877622
c18:2 ,DAY1_CAGE2_T120,2293925321.14,non-perturbative,2,120,lactate,1.5624000000000005,1449,1849211895.944167,1.2404880836918757,1.2404880836918757
c18:2 ,DAY1_CAGE3_T120,1605757253.39,non-perturbative,3,120,3-hydroxybutyrate,0.4016,1449,1849211895.944167,0.8683468113696813,0.8683468113696813
c18:2 ,DAY1_CAGE4_T120,1903824053.39,non-perturbative,4,120,glucose,2.1756,1449,1849211895.944167,1.0295326660863542,1.0295326660863542
c18:2 ,DAY1_CAGE5_T120,2284976986.64,non-perturbative,5,120,lactate,1.8162900000000004,1449,1849211895.944167,1.235649084700129,1.235649084700129
c18:2 ,DAY1_CAGE6_T120,1761801589.64,non-perturbative,6,120,3-hydroxybutyrate,0.432,1449,1849211895.944167,0.9527310491048204,0.9527310491048204
c18:2 ,DAY1_CAGE9_T120,1411859204.39,non-perturbative,9,120,glucose,2.3184000000000005,1449,1849211895.944167,0.7634923869387806,0.7634923869387806
c18:2 ,DAY1_CAGE10_T120,2295873174.64,non-perturbative,10,120,lactate,1.6600500000000005,1449,1849211895.944167,1.241541426201878,1.241541426201878
c18:2 ,DAY1_CAGE11_T120,1728395736.64,non-perturbative,11,120,3-hydroxybutyrate,0.3872,1449,1849211895.944167,0.9346661355742141,0.9346661355742141
c18:2 ,DAY1_CAGE12_T120,1941307771.5500002,non-perturbative,12,120,glucose,1.89,1449,1849211895.944167,1.049802770470937,1.049802770470937
c18:2 ,DAY2_CAGE3_T120,1718612103.39,perturbative,3,120,3-hydroxybutyrate,12.048,599,1849211895.944167,0.9293754313171961,0.9293754313171961
c18:2 ,DAY1_CAGE13_T120,1552883265.01,non-perturbative,13,120,lactate,1.6340100000000006,1449,1849211895.944167,0.839754096551024,0.839754096551024
c18:2 ,DAY1_CAGE14_T120,1774729001.39,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,1849211895.944167,0.9597218173225425,0.9597218173225425
