Time,Glucose,Group,Genotype
0, 99.35897435897434, 0, WT
0, 99.35897435897434, 0, KO
15, 39.10256410256409, 1, WT
15, 62.17948717948717, 1, KO
30., 59.61538461538461, 2, WT
30., 70.5128205128205, 2, KO
60., 74.35897435897435, 3, WT
60., 78.84615384615384, 3, KO
90., 92.30769230769229, 4, WT
90., 92.30769230769229, 4, KO
