TRACER_x,DAY,CAGE,CO2_FLUX,VCO2,COMPOUND,TRACER_y,C_LABEL,value,TIME,TRACER_UMOL_MIN,COUNTS,RA,RD,CO2_FLUX_NORM,TRACER,DELTA_RD,DELTA_RA,DELTA_RD_norm,DELTA_CO2_FLUX
3HB,non-perturbative,3,0.27016367254789303,0.8587551636363636,3-hydroxybutyrate,3-hydroxybutyrate_4,4.0,0.19962052,120.0,0.4016,1449.0,1.6102172219970174,2.0118172219970174,1.3533862778630825,3-hydroxybutyrate,,,,
3HB,non-perturbative,6,0.29102003490760264,0.9257516363636363,3-hydroxybutyrate,3-hydroxybutyrate_4,4.0,0.161502751,120.0,0.432,1449.0,2.242877036614689,2.674877036614689,1.8019509457619247,3-hydroxybutyrate,,,,
3HB,non-perturbative,11,0.22950935275301337,0.798861518181818,3-hydroxybutyrate,3-hydroxybutyrate_4,4.0,0.108680723,120.0,0.3872,1449.0,3.175529335173819,3.562729335173819,2.1117760943954464,3-hydroxybutyrate,,,,
3HB,perturbative,3,8.30175129376014,0.9126299818181818,3-hydroxybutyrate,3-hydroxybutyrate_4,4.0,0.864688174,120.0,12.048,599.0,1.8853465661576172,13.933346566157617,9.600861377988661,3-hydroxybutyrate,11.9215293441606,0.27512934416059975,11.9215293441606,8.247475100125579
3HB,perturbative,6,7.746411510706611,0.8515285181818182,3-hydroxybutyrate,3-hydroxybutyrate_4,4.0,0.862747667,120.0,12.96,599.0,2.0617734520978996,15.0217734520979,8.978768424425784,3-hydroxybutyrate,12.346896415483211,-0.18110358451678943,12.346896415483211,7.176817478663859
3HB,perturbative,11,6.367575843323468,0.5409819,3-hydroxybutyrate,3-hydroxybutyrate_4,4.0,0.865691714,120.0,11.616,599.0,1.80217163332581,13.418171633325809,7.355477406502551,3-hydroxybutyrate,9.85544229815199,-1.373357701848009,9.85544229815199,5.243701312107104
Glucose,non-perturbative,1,1.1619532167015438,0.9069748454545454,glucose,glucose_6,6.0,0.135270353,120.0,2.0412000000000003,1449.0,13.04858098105503,15.08978098105503,8.589858686193743,glucose,,,,
Glucose,non-perturbative,4,1.5404453973534975,1.2897205454545455,glucose,glucose_6,6.0,0.127457111,120.0,2.1756,1449.0,14.893671246858876,17.069271246858875,12.085990222652208,glucose,,,,
Glucose,non-perturbative,9,1.6067162506918442,0.7598062636363636,glucose,glucose_6,6.0,0.196296669,120.0,2.3184000000000005,1449.0,9.49229455641145,11.81069455641145,8.185142717280874,glucose,,,,
Glucose,non-perturbative,12,1.2504895617431309,0.9006743727272727,glucose,glucose_6,6.0,0.141004321,120.0,1.89,1449.0,11.513844553104155,13.403844553104156,8.868448518986385,glucose,,,,
Glucose,perturbative,1,17.086335720772453,0.9048458818181818,glucose,glucose_6,6.0,0.846613039,120.0,29.3058,599.0,5.309542133893123,34.61534213389312,20.181989803694076,glucose,19.525561152838094,-7.739038847161908,19.525561152838094,11.592131117500333
Glucose,perturbative,4,18.725832928171886,1.0583532818181818,glucose,glucose_6,6.0,0.840878704,120.0,31.2354,599.0,5.910742304966735,37.14614230496673,22.269362797624005,glucose,20.076871058107855,-8.98292894189214,20.076871058107855,10.183372574971797
Glucose,perturbative,9,17.580021492072557,0.9331460636363637,glucose,glucose_6,6.0,0.751119496,120.0,33.2856,599.0,11.029053230622571,44.314653230622575,23.405092779102297,glucose,32.50395867421113,1.5367586742111214,32.50395867421113,15.219950061821423
Glucose,perturbative,12,17.94169866756823,0.9347429909090909,glucose,glucose_6,6.0,0.817795397,120.0,27.135,599.0,6.045670983894031,33.18067098389403,21.939104491643683,glucose,19.776826430789875,-5.4681735692101245,19.776826430789875,13.070655972657297
Lactate,non-perturbative,2,1.1155333250020956,0.847913409090909,lactate,lactate_3,3.0,0.119549268,120.0,1.5624000000000005,1449.0,11.50668880445843,13.06908880445843,9.331159811050416,lactate,,,,
Lactate,non-perturbative,5,1.1864112025163587,0.8672969818181818,lactate,lactate_3,3.0,0.121412728,120.0,1.8162900000000004,1449.0,13.143344215615354,14.959634215615354,9.77172016525614,lactate,,,,
Lactate,non-perturbative,10,1.152723458790035,0.9482273636363636,lactate,lactate_3,3.0,0.092224616,120.0,1.6600500000000005,1449.0,16.340024947452214,18.000074947452216,12.499086564806461,lactate,,,,
Lactate,non-perturbative,13,1.2586848897255587,0.7959510181818182,lactate,lactate_3,3.0,0.09533347,120.0,1.6340100000000006,1449.0,15.505930463721718,17.139940463721718,13.202969426430808,lactate,,,,
Lactate,perturbative,2,6.447921576824448,0.7303991090909091,lactate,lactate_3,3.0,0.463590213,120.0,9.396,599.0,10.87189983161271,20.26789983161271,13.908666309192443,lactate,7.19881102715428,-0.634788972845719,7.19881102715428,4.577506498142027
Lactate,perturbative,5,7.734805075182833,0.8640390636363636,lactate,lactate_3,3.0,0.519538655,120.0,10.92285,599.0,10.101283420832761,21.02413342083276,14.887833659235294,lactate,6.064499205217407,-3.042060794782593,6.064499205217407,5.116113493979155
Lactate,perturbative,10,8.820696083751681,1.0551755363636364,lactate,lactate_3,3.0,0.490364,120.0,9.98325,599.0,10.375605870333057,20.35885587033306,17.988058021697515,lactate,2.358780922880843,-5.964419077119157,2.358780922880843,5.488971456891054
Lactate,perturbative,13,5.129795040519377,0.5519634727272728,lactate,lactate_3,3.0,0.47715826,120.0,9.82665,599.0,10.76746064161396,20.59411064161396,10.750720401485614,lactate,3.454170177892241,-4.738469822107758,3.454170177892241,-2.4522490249451945
